Report,Section,Sub section,Heading,Heading,Domain Agreement,Construct Agreement,WB CFIR domain,WB CFIR construct,Confidence/ Notes,SE CFIR domain,SE CFIR construct,Confidence/ Notes,Consensus Convo,Domain Consensus,Construct Consensus
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Effectively connecting consumers with county/city services required updating workflows and training staff. When the goal of the project is to connect Help@Hand participants to existing county/city services, it is important for clinic staff to be aware of and understand the project. Staff training is especially important when clinic staff are not part of the core Help@Hand implementation team and thus unfamiliar with the project.",Agree,Disagree,Implementation process,Assessing needs: Innovation deliverers,,IMplementation process,"Assessing needs
Innovation deliverers",,,Implementation process,Assessing needs: Innovation deliverers
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,Working with several partners sometimes resulted in overlap of scopes of work. It was important to review final scopes of work to minimize redundancy of work between partners. Some counties/cities experienced budgeting issues related to vendor overpayment related to this issue.,Agree,Agree,Implementation process,Planning,"Should be three chunks: teaming, planning, inner setting",IMplementation process,Planning,,,Implementation process,Planning
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,Working with several partners sometimes resulted in overlap of scopes of work. It was important to review final scopes of work to minimize redundancy of work between partners. Some counties/cities experienced budgeting issues related to vendor overpayment related to this issue.,Agree,Agree,Inner setting,Structural characteristics,,Inner setting,Structural characteristics,Not confident,,Inner setting,Structural characteristics
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Evaluation was identified as key to measuring the effectiveness of program activities. Counties/cities reported device distribution to be a challenge, but they did not report conducting an evaluation of these efforts. An evaluation of these efforts would help identify learnings, challenges, and successful strategies.",Agree,Disagree,Implementation process,Engaging: Innovation Recipients,,Implementation process,"Reflecting & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating: Implementation
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Evaluation was identified as key to measuring the effectiveness of program activities. Counties/cities reported device distribution to be a challenge, but they did not report conducting an evaluation of these efforts. An evaluation of these efforts would help identify learnings, challenges, and successful strategies.",Agree,Agree,,,,,,,Not worth chunking,,
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Evaluation was identified as key to measuring the effectiveness of program activities. Counties/cities reported device distribution to be a challenge, but they did not report conducting an evaluation of these efforts. An evaluation of these efforts would help identify learnings, challenges, and successful strategies.",Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,"Reflecting & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating: Implementation
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Evaluation was identified as key to measuring the effectiveness of program activities. Counties/cities reported device distribution to be a challenge, but they did not report conducting an evaluation of these efforts. An evaluation of these efforts would help identify learnings, challenges, and successful strategies.",Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,Maybe a superfluous chunk.,Implementation process,"Reflecting & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating: Implementation
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Incentives and frequent check ins improved survey response rates. Consumers were less likely to respond to online surveys when there is little incentive or support for participation from the county/city. Potential ways to increase survey response rates include informing consumers about surveys when they enroll into the program, following up about surveys with consumers via phone or mail, and providing financial incentives to complete the survey (e.g., lottery or payment for each consumer).",Agree,Disagree,Implementation process,Engaging: Innovation Recipients,,Implementation process,"Engaging
Innovation recipients",,,Implementation process,Engaging: Innovation Recipients
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Incentives and frequent check ins improved survey response rates. Consumers were less likely to respond to online surveys when there is little incentive or support for participation from the county/city. Potential ways to increase survey response rates include informing consumers about surveys when they enroll into the program, following up about surveys with consumers via phone or mail, and providing financial incentives to complete the survey (e.g., lottery or payment for each consumer).",Agree,Disagree,Implementation process,Engaging: Innovation Recipients,,Implementation process,"Engaging
Innovation recipients",,,Implementation process,Engaging: Innovation Recipients
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Consumer information was collected in multiple ways. In some cases, vendors were unable to provide consumers’ contact information to counties/cities, though counties/cities needed this information for evaluation purposes. Some counties/cities were able to embed surveys on their Help@Hand project landing page to gather this important consumer information.",Agree,Disagree,Implementation process,Reflecting and Evaluating,,Implementation process,"Reflecting & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Consumer information was collected in multiple ways. In some cases, vendors were unable to provide consumers’ contact information to counties/cities, though counties/cities needed this information for evaluation purposes. Some counties/cities were able to embed surveys on their Help@Hand project landing page to gather this important consumer information.",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,Not confident,,Implementation process,Teaming
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Consumer information was collected in multiple ways. In some cases, vendors were unable to provide consumers’ contact information to counties/cities, though counties/cities needed this information for evaluation purposes. Some counties/cities were able to embed surveys on their Help@Hand project landing page to gather this important consumer information.",Disagree,Disagree,Implementation process,Reflecting and Evaluating,,Inner setting,"Structural characteristics
Information Technology Infrastructure",Not confident,"This is project specific website- more implementation focused

SE had Inner setting	""Structural characteristics
Information Technology Infrastructure""",Implementation process,Reflecting and Evaluating
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,Data collected around consumer demographic information varied across counties/cities. This variation can cause discussion on why some demographic information was not collected in all counties/cities. The spotlight on page 139 discusses Los Angeles County’s work on demographic information collection to represent individuals from underserved groups.,Agree,Disagree,Implementation process,Reflecting and Evaluating,,Implementation process,"Reflecitng & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,Data collected around consumer demographic information varied across counties/cities. This variation can cause discussion on why some demographic information was not collected in all counties/cities. The spotlight on page 139 discusses Los Angeles County’s work on demographic information collection to represent individuals from underserved groups.,Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,"Reflecitng & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating: Implementation
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Consolidating data from multiple sources in a central location was identified as critical. When collecting data from multiple sources and/or using different methods (such as surveys, Excel, and other documents), it is key to ensure that all data is saved in a centralized location, such as a shared folder.",Disagree,Disagree,Implementation process,Reflecting and Evaluating,,Inner setting,"Structural characteristics
Information Technology Infrastructure",Not confident,"Not inner setting: process through which collecting data

SE had Inner setting	""Structural characteristics
Information Technology Infrastructure""",Implementation process,Reflecting and Evaluating
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Some counties/cities developed infrastructure to facilitate future technologies. Implementation of an app provides counties/cities with opportunities to develop infrastructure to support current and future technologies. For example, one county invested resources to build infrastructure and training to facilitate future technology more quickly and with greater efficiency.",Disagree,Disagree,Implementation process,Adapting,,Inner setting,Structural characteristics,,"Inner setting: outside project

Will had Implementation process	Adapting",Inner setting,Structural characteristics
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Some counties/cities developed infrastructure to facilitate future technologies. Implementation of an app provides counties/cities with opportunities to develop infrastructure to support current and future technologies. For example, one county invested resources to build infrastructure and training to facilitate future technology more quickly and with greater efficiency.",Disagree,Disagree,Implementation process,Adapting,,Inner setting,Structural characteristics,,"Inner setting: outside project

Will had Implementation process	Adapting",Inner setting,Structural characteristics
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"It was important to communicate to consumers about the close out of an app or project. Communication was key to ensure consumers were aware that apps would no longer be available at the end of the project, and to direct them to additional resources.",Agree,Disagree,Implementation process,Engaging: Innovation Recipients,,Implementation process,"Engaging
Innovation recipients",,,Implementation process,Engaging: Innovation Recipients
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Some apps were only offered through participating organizations and not available for individual purchase, which may impact transition planning. Some apps are only offered through specific partnerships between the vendor and organization (e.g., county behavioral health services, health plans, employers, etc.). Consumers who enrolled in the app through their county/city implementation may not have the option to purchase a license directly from the vendor when the implementation ends.",Agree,Agree,Innovation,Source,More notes about the chunking. I reckon this is three chunks.,Innovation,Source,,,Innovation,Source
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Some apps were only offered through participating organizations and not available for individual purchase, which may impact transition planning. Some apps are only offered through specific partnerships between the vendor and organization (e.g., county behavioral health services, health plans, employers, etc.). Consumers who enrolled in the app through their county/city implementation may not have the option to purchase a license directly from the vendor when the implementation ends.",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,,Implementation process,Teaming
4,Pilot and Implementation Evaluations,Learnings from technology pilots and implementations by Help@Hand counties/cities with their core audience,,"Some apps were only offered through participating organizations and not available for individual purchase, which may impact transition planning. Some apps are only offered through specific partnerships between the vendor and organization (e.g., county behavioral health services, health plans, employers, etc.). Consumers who enrolled in the app through their county/city implementation may not have the option to purchase a license directly from the vendor when the implementation ends.",Agree,Disagree,Innovation,Adaptabilty,,Innovation,Adaptablility,,,Innovation,Adaptabilty
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Changes to apps or business models changed their potential use for long term sustainability. Counties/cities found that developer initiated updates to apps sometimes changed app functionality that affected consumer relevance. In addition, changes to business models (such as free apps becoming accessible only through subscriptions) limited future accessibility.",Agree,Disagree,Innovation,Adaptabilty,"Thought maybe this would be two separate chunks but I don't think so i.e., business models are a part of the innovation.",Innovation,Adaptability,,,Innovation,Adaptabilty
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Changes to apps or business models changed their potential use for long term sustainability. Counties/cities found that developer initiated updates to apps sometimes changed app functionality that affected consumer relevance. In addition, changes to business models (such as free apps becoming accessible only through subscriptions) limited future accessibility.",Agree,Agree,Innovation,Adaptability,,Innovation,Adaptability,,,Innovation,Adaptability
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Consistency in Headspace experience. Similar to the previous report, over 90% of people who continued to use Headspace had a positive experience with the app and this trend remained across surveys. These findings indicate that people’s experiences remained stable.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Providing technology support. Similar to the previous report, only a third of respondents said they could get help from others if they had any difficulties using the app. This finding indicates that there may be a need or opportunity to provide additional support for those experiencing difficulties in using the app.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Providing technology support. Similar to the previous report, only a third of respondents said they could get help from others if they had any difficulties using the app. This finding indicates that there may be a need or opportunity to provide additional support for those experiencing difficulties in using the app.",Agree,Agree,Innovation,Design,I could see this being both an innovation or implementation depending on who is expected to provide additional support (county or through the app).,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Reasons for abandoning Headspace. Similar to the previous report, the most common reasons for abandoning Headspace were that people were already using other strategies to support their mental health and/or no longer needed Headspace, and this trend remained across surveys. This suggests that abandonment of Headspace may not be related to a negative experience with Headspace, but people may already have strategies in place or access to other resources that are helpful.",Disagree,Disagree,Individuals,Innovation recipients,,Implementation process,"Engaging
Innovation recipients",,"It's about what the individual is using, so individual. Could be innovation

SE had Implementation process	""Engaging
Innovation recipients""",Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Headspace as a mental health resource. Over half of respondents experienced mental health challenges in Survey 1, and current users were significantly more likely than abandoners to report having mental health problems. These findings may indicate that Headspace may especially continue to be used by those with higher mental health concerns and a need for mental health resources.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Headspace as a mental health resource. Over half of respondents experienced mental health challenges in Survey 1, and current users were significantly more likely than abandoners to report having mental health problems. These findings may indicate that Headspace may especially continue to be used by those with higher mental health concerns and a need for mental health resources.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Headspace as a mental health resource. Over half of respondents experienced mental health challenges in Survey 1, and current users were significantly more likely than abandoners to report having mental health problems. These findings may indicate that Headspace may especially continue to be used by those with higher mental health concerns and a need for mental health resources.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Working with a marketing vendor. Marketing vendors can help increase enrollment of new users through various advertisement efforts like flyers, radio ads, and community outreach.",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,,Implementation process,Teaming
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,Community outreach. Community events provide the opportunity to engage with the core audience and understand areas that hinder potential enrollees.,Agree,Disagree,Implementation process,Engaging: Innovation Recipients,,Implementation process,"Engaging
Innovation recipients",,,Implementation process,Engaging: Innovation Recipients
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,Community outreach. Community events provide the opportunity to engage with the core audience and understand areas that hinder potential enrollees.,Agree,Disagree,Implementation process,Assessing context: Innovation deliverers,,Implementation process,Assessing context,,,Implementation process,Assessing context: Innovation deliverers
4,Pilot and Implementation Evaluations,Learnings from the Headspace app data and consumer survey findings,,"Engagement rates appear relatively stable overtime. App data showed that even as the number of monthly active users increases and decreases, the percentage of users who use at least one piece of content each month appears relatively consistent and in the range of 1 of 4 to 1 of 6 users. Thus, 4 6 people need to be enrolled to get 1 person to engage consistently with Headspace.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Headspace’s focus content is becoming increasingly popular. More people are using the focus content, which includes music and audio tracks to support focus and attention. Given its increased popularity, it might be useful to highlight this content in marketing or onboarding materials.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Headspace’s focus content is becoming increasingly popular. More people are using the focus content, which includes music and audio tracks to support focus and attention. Given its increased popularity, it might be useful to highlight this content in marketing or onboarding materials.",Agree,Disagree,Implementation process,Tailoring strategies,,Implementation process,Tailoring,,,Implementation process,Tailoring strategies
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Types of Use. Consumers engaged in a large variety of myStrength activities, which indicates that consumers may be using myStrength for different purposes.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Active Engagement. The majority of consumers stopped using myStrength after a day, but a small percentage continued to use myStrength beyond 4 weeks to a year.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,Consistency in myStrength experience. A third of survey respondents who used myStrength had a positive experience with the app and this trend remained across surveys. These findings indicate that people’s experience remained stable.,Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"myStrength as a mental health resource. Over a third of users scored high on anxiety and depression, and half of survey respondents reported experiencing mental health challenges.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Types of content. The most popular content that participants engaged with were related to Post Traumatic Stress Disorder (PTSD), Insomnia, and Anxiety.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Mood improvement. Respondents overall scored somewhat low on well being at registration, but a third of consumers who tracked their mood over time reported an improvement in mood using myStrength.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Use of other mental health resources. Half of respondents had made use of other mental health resources besides myStrength. This indicates that non use of myStrength may not be related to a negative experience with the technology per se. Instead, people may already have access to other resources that are helpful.",Agree,Agree,Individuals,Innovation recipients,,Individuals,Innovation recipients,Not confident,,Individuals,Innovation recipients
4,Pilot and Implementation Evaluations,Learnings from the myStrength app and consumer survey data,,"Use of other mental health resources. Half of respondents had made use of other mental health resources besides myStrength. This indicates that non use of myStrength may not be related to a negative experience with the technology per se. Instead, people may already have access to other resources that are helpful.",Agree,Agree,Innovation,Design,,Innovation,Design,,,Innovation,Design
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Developing and implementing a digital mental health product requires a collaborative approach. This process is incredibly complicated and requires cultivating a collaborative approach that includes product teams, County teams (leadership, Chief Information Officer, Compliance), health care professionals, and end users and key stakeholders. A major barrier was the lack of time and dedicated resources for taking on such an ambitious project. In part, the LACDMH team lacked the necessary experience and project management support to tackle such a resource demanding and complex project that ultimately required intensive coordination between multiple county departments, divisions, and vendors.",Agree,Disagree,Inner setting,Structural characteristics,,Inner setting,"Structrual characeristics
Work infrastructure",,,Implementation process,Teaming
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Developing and implementing a digital mental health product requires a collaborative approach. This process is incredibly complicated and requires cultivating a collaborative approach that includes product teams, County teams (leadership, Chief Information Officer, Compliance), health care professionals, and end users and key stakeholders. A major barrier was the lack of time and dedicated resources for taking on such an ambitious project. In part, the LACDMH team lacked the necessary experience and project management support to tackle such a resource demanding and complex project that ultimately required intensive coordination between multiple county departments, divisions, and vendors.",Agree,Disagree,Inner setting,Structural characteristics,,Inner setting,"Structrual characeristics
Work infrastructure",,,Inner setting,Structural characteristics
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Developing and implementing a digital mental health product requires a collaborative approach. This process is incredibly complicated and requires cultivating a collaborative approach that includes product teams, County teams (leadership, Chief Information Officer, Compliance), health care professionals, and end users and key stakeholders. A major barrier was the lack of time and dedicated resources for taking on such an ambitious project. In part, the LACDMH team lacked the necessary experience and project management support to tackle such a resource demanding and complex project that ultimately required intensive coordination between multiple county departments, divisions, and vendors.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,,Inner setting,"Structrual characeristics
Work infrastructure",,,Inner setting,Structural characteristics: Work Infrastructure
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Having a vendor that is communicative and flexible can facilitate implementation of an app within a county/city. The MindLAMP team was noted as being incredibly flexible and innovative in their ap proach to co designing the necessary system changes request by Los Angeles County. This was noted as a particular strength of the collaboration. Many of the technical challenges that emerged over the course of the program were successfully overcome; however, continued challenges addressing technical issues that interfaced with County needs security and privacy needs proved to be too difficult to overcome at this point in time (e.g., Multi factor authentication also added to the delay).",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,,Implementation process,Teaming
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Having a vendor that is communicative and flexible can facilitate implementation of an app within a county/city. The MindLAMP team was noted as being incredibly flexible and innovative in their ap proach to co designing the necessary system changes request by Los Angeles County. This was noted as a particular strength of the collaboration. Many of the technical challenges that emerged over the course of the program were successfully overcome; however, continued challenges addressing technical issues that interfaced with County needs security and privacy needs proved to be too difficult to overcome at this point in time (e.g., Multi factor authentication also added to the delay).",Agree,Disagree,Individuals,Innovation deliverers,,Individuals,Innovation delieverers,,,Individuals,Innovation deliverers
4,Pilot and Implementation Evaluations,Los Angeles County's Experience and Learnings with Mindlamp,,"Having a vendor that is communicative and flexible can facilitate implementation of an app within a county/city. The MindLAMP team was noted as being incredibly flexible and innovative in their ap proach to co designing the necessary system changes request by Los Angeles County. This was noted as a particular strength of the collaboration. Many of the technical challenges that emerged over the course of the program were successfully overcome; however, continued challenges addressing technical issues that interfaced with County needs security and privacy needs proved to be too difficult to overcome at this point in time (e.g., Multi factor authentication also added to the delay).",Agree,Disagree,Implementation process,Tailoring strategies,,Implementation process,Tailoring,,,Implementation process,Tailoring strategies
3,Peer Evaluation,Challenges,Counties/Cities Faced a Range of Challenges Maintaining the Peer Workforce,"When designing a technology enabled service, the aims, practitioner roles, and technology are devel oped simultaneously. Moving from the view of designing a digital product to designing a technology en abled service means that the aims, role of the practitioner, and technology are designed and evaluated simultaneously in the relevant context.",Agree,Agree,Implementation process,Planning,,Implementation process,Planning,,,Implementation process,Planning
3,Peer Evaluation,Challenges,Counties/Cities Faced a Range of Challenges Maintaining the Peer Workforce,Peers play an active role in supporting the Help@Hand program across the Collaborative. There is overall enthusiasm for the contribution of the Peer component to Help@Hand.,Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,,Implementation process,Teaming
2,Peer Evaluation,Key Points,,Peers play an active role in supporting the Help@Hand program across the Collaborative. There is overall enthusiasm for the contribution of the Peer component to Help@Hand.,Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,"Reflecting & Evaluating
Implementation",,,Implementation process,Reflecting and Evaluating: Implementation
2,Peer Evaluation,Key Points,,"In response to the COVID 19 pandemic and the halting of in person outreach activities, counties/cities created educational materials that could be delivered virtually to address digital literacy.",Disagree,Disagree,Implementation process,Assessing needs: Innovation recipients,,Outer setting,Critical incidents,,"Maybe chunk sep to have both codes: 1st part covid, 2nd could be recipients or deliverers-- would choose recipients",Outer setting,Critical incidents
2,Peer Evaluation,Key Points,,"In response to the COVID 19 pandemic and the halting of in person outreach activities, counties/cities created educational materials that could be delivered virtually to address digital literacy.",Agree,Agree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,Reflecting and Evaluating: Implementation,,"Maybe chunk sep to have both codes: 1st part covid, 2nd could be recipients or deliverers-- would choose recipients",Implementation process,Assessing needs: Innovation recipients
2,Peer Evaluation,Key Points,,"Peers engaged in digital product testing throughout Year 2, and coun ties/cities plan to sustain this engagement into Year 3.",Agree,Agree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,Reflecting and Evaluating: Implementation,,,Implementation process,Reflecting and Evaluating: Implementation
2,Peer Evaluation,Key Points,,"Peers engaged in digital product testing throughout Year 2, and counties/cities plan to sustain this engagement into Year 3.",Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,Planning,,,Implementation process,Reflecting and Evaluating: Implementation
4,Peer Evaluation,Key Points,,"Counties/cities reported a number of successes and challenges related to the Peer component of Help@Hand. Over time, more counties/cit ies reported successes with incorporating Peer input into Help@Hand decisions. However, challenges to program implementation were reported by an increasing number of counties/cities.",Agree,Disagree,Implementation process,Reflecting and Evaluating: Implementation,,Implementation process,Teaming,Not confident,"Planning: more about how we plan future things, not to know if successful but to change activities

Will had Reflecting and Evaluating: Implementation",Implementation process,Planning
4,Peer Evaluation,Key Points,,"Peers contributed to multiple activities and successes. Peers continued to engage in a range of activities to support Help@Hand, and provided valuable input especially for community facing activities.",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,"Would be planning again

WIll had Reflecting and Evaluating: Implementation, SE had teaming",Implementation process,Planning
4,Peer Evaluation,Key Points,,"The Help@Hand Collaborative is a useful resource for many Peers. This included sharing insights for planning and implementation of programs, adopting existing technologies and tools, and learning about innovative strategies to provide services.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,Very unsure about how to chunk this one...,Inner setting,"Structural Characteristics
Work Infrustructrure",,,Implementation process,Teaming
4,Peer Evaluation,Key Points,,"Peers had to navigate multiple challenges. Challenges ranged from needing more staff support while juggling multiple responsibilities, to contract related delays and uncertainty of future funding.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,,Inner setting,"Structural Characteristics
Work Infrustructrure",,,Inner setting,Structural characteristics: Work Infrastructure
4,Peer Evaluation,Key Points,,"Peers had to navigate multiple challenges. Challenges ranged from needing more staff support while juggling multiple responsibilities, to contract related delays and uncertainty of future funding.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,,Inner setting,"Structural Characteristics
Work Infrustructrure",,,Inner setting,Structural characteristics: Work Infrastructure
4,Peer Evaluation,Key Points,,"Peers had to navigate multiple challenges. Challenges ranged from needing more staff support while juggling multiple responsibilities, to contract related delays and uncertainty of future funding.",Agree,Agree,Implementation process,Adapting,,Implementation process,Adapting,,,Inner setting,Structural characteristics: Work Infrastructure
2,Peer Evaluation,Learnings from Peer Evaluations,,"Adapting to changing or unexpected project timelines was important. The majority of Peers expressed having encountered unexpected delays or requirements, belated decisions, and staff turnover. Learning to be flexible while still seeking to integrate Peers’ perspectives was key for Peers’ perceptions of their programs’ successes.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,,Inner setting,"Structural Characteristics
Work Infrustructrure",,,Implementation process,Adapting
2,Peer Evaluation,Learnings from Peer Evaluations,,"Adapting to changing or unexpected project timelines was important. The majority of Peers expressed having encountered unexpected delays or requirements, belated decisions, and staff turnover. Learning to be flexible while still seeking to integrate Peers’ perspectives was key for Peers’ perceptions of their programs’ successes.",Agree,Disagree,Inner setting,Structural characteristics: Work Infrastructure,,Inner setting,"Structural Characteristics
Work Infrustructrure",,,Inner setting,Structural characteristics: Work Infrastructure
2,Peer Evaluation,Learnings from Peer Evaluations,,"Adapting to changing or unexpected project timelines was important. The majority of Peers expressed having encountered unexpected delays or requirements, belated decisions, and staff turnover. Learning to be flexible while still seeking to integrate Peers’ perspectives was key for Peers’ perceptions of their programs’ successes.",Agree,Disagree,Implementation process,Adapting,,Implementation process,"Structural Characteristics
Work Infrustructrure",,,Inner setting,Structural characteristics: Work Infrastructure
2,Peer Evaluation,Learnings from Peer Evaluations,,"Adapting to changing or unexpected project timelines was important. The majority of Peers expressed having encountered unexpected delays or requirements, belated decisions, and staff turnover. Learning to be flexible while still seeking to integrate Peers’ perspectives was key for Peers’ perceptions of their programs’ successes.",Agree,Disagree,Implementation process,Reflecting and Evaluating: Innovation,,Implementation process,"Reflecting & Evaluating
Innovation",,"Adapting

SE had ""Structural Characteristics
Work Infrustructrure""",Implementation process,Adapting
2,Peer Evaluation,Learnings from Peer Evaluations,Peer Successes,"Product Testing and Material Creation. Common Peer activities in Year 2 included testing potential technologies and creating outreach materials, particularly for virtual dissemination. Peer Leads expressed general optimism about implementing digital mental health literacy outreach in 2021.",Agree,Agree,Individuals,Implementation deliverers,,Individuals,Implementation deliverers,,,Implementation process,Reflecting and Evaluating: Innovation
2,Peer Evaluation,Learnings from Peer Evaluations,Peer Successes,"Product Testing and Material Creation. Common Peer activities in Year 2 included testing potential technologies and creating outreach materials, particularly for virtual dissemination. Peer Leads expressed general optimism about implementing digital mental health literacy outreach in 2021.",Agree,Agree,Implementation process,Teaming,,Implementation process,Teaming,,,Individuals,Implementation deliverers
